food_item,calories,protein,fat,carbohydrates,price,label
Salmon,238.11604617998094,25.429869009512526,15.026740778348312,0.0,5.451560947261772,stunted
Greek Yogurt,108.27562525815688,10.827562525815688,2.1655125051631376,3.2482687577447065,2.0774598535452746,normal
Brown Rice,231.9966579086908,5.3952711141556,1.726486756529792,48.557440027400396,1.901797224498039,stunted
Broccoli,62.264869167094204,4.188727562149974,0.6792531181864822,12.679391539481001,2.836554184015355,normal
Apple,42.16936516632297,0.24328479903647865,0.16218986602431912,11.353290621702337,1.1015578063841729,normal
Banana,115.73790960312735,1.432945547467291,0.33067974172322095,29.76117675508989,0.9891882190450499,normal
Broccoli,48.98992875617175,3.2956861163242817,0.5344355864309646,9.976130946711338,2.825154659592427,stunted
Salmon,168.27797941312073,17.971434694605126,10.619484137721212,0.0,5.372252978979343,stunted
Brown Rice,186.8837922686278,4.346134703921576,1.3907631052549045,39.11521233529419,1.8532466167859751,stunted
Greek Yogurt,85.21231506698348,8.521231506698348,1.7042463013396696,2.5563694520095046,2.1808655874321774,stunted
Broccoli,56.325194939368416,3.78914947773933,0.6144566720658372,11.469857878562294,2.7396243296664995,normal
Almonds,5.964621584525578,0.25562663933681046,0.5112532786736209,0.5112532786736209,1.5457868131847352,normal
Brown Rice,215.91332534635427,5.02124012433382,1.6067968397868224,45.19116111900438,1.6348801407404254,normal
Brown Rice,248.48132043242543,5.778635358893615,1.8491633148459568,52.00771823004253,1.7957422641442822,stunted
Salmon,168.61333204333204,18.007249053171382,10.64064716778309,0.0,5.279748868028581,normal
Broccoli,64.791312631934,4.358688304330107,0.7068143196210983,13.193867299593835,2.811502224603668,stunted
Broccoli,56.11270345415296,3.7748545960066537,0.612138583136214,11.426586885209328,2.6000128364448067,stunted
Broccoli,49.108289604610064,3.303648573401041,0.5357267956866552,10.00023351948423,2.9829530957543393,normal
Brown Rice,185.25291742405085,4.308207381954671,1.3786263622254948,38.77386643759204,1.8187684498322874,normal
Broccoli,51.90865376979109,3.4920367081495822,0.5662762229431755,10.570489494939276,2.6718533972102794,normal
Salmon,232.00308235424382,24.777028212589148,14.64097121652995,0.0,5.368044356822161,stunted
Lentils,269.83791377082156,21.117749773368644,1.1732083207427024,46.9283328297081,1.4608698364997075,normal
Almonds,8.326035125139475,0.3568300767916918,0.7136601535833836,0.7136601535833836,1.465442391030924,normal
